"ProteinID","n_proteins","protein_score","n_peptides","MDA_GD3","MDA_GD2","MDA_GD1","MDA_HG1","MDA_HG3","MDA_HG2","MDA_GD1","MDA_GD2","MDA_GD3","MDA_HG1","MDA_HG2","MDA_HG3","MDA_GD1_sim","MDA_GD2_sim","MDA_GD3_sim","MDA_HG1_sim","MDA_HG2_sim","MDA_HG3_sim"
"sp|A0A0B4J2D5|GAL3B_HUMAN/sp|P0DPI2|GAL3A_HUMAN",2,0.992420277,9,908407480,1969024771,2060850840,3688400066,3402294276,3463782098,21.4463847636011,21.400804217022,20.6272036024198,22.0284586145232,21.9656269209336,21.9477158280609,20.5677444224183,20.7935974775192,20.9115667239719,21.9967230391295,21.9630645978573,22.0120772129648
"sp|A0A0U1RRL7|MMPOS_HUMAN",1,1,1,0,0,0,22978130,24357370,23435360,NA,NA,NA,16.950053451965,16.9697565508595,17.0083450311022,NA,NA,NA,16.976522624069,16.9686169215684,16.9373583016598
"sp|A0AV96|RBM47_HUMAN",1,1,5,42821032,75709518,38379524,151069390,167857063,175575570,17.4630346461741,18.1424144436611,17.5725399417228,18.8332498256485,18.98358010648,18.9386233597424,17.3783936905059,17.0285937532546,17.8056685388087,18.836194978586,18.9321608423314,18.9460304291822
"sp|A0AVT1|UBA6_HUMAN",1,1,10,91706150,130959470,158079582,111609792,58823665,78784770,18.8786091477296,18.6903984439817,18.3341000014991,18.5305193459979,18.1822302620366,17.8900547978875,18.7538331348657,18.9712859362928,18.7163421218522,18.5490315968424,18.3583687358036,18.3119926285076
"sp|A0FGR8|ESYT2_HUMAN",1,1,15,188825803,283311040,206890454,399079916,455554500,542882156,19.1477000034203,19.462055933332,19.0563354707696,19.8046722455254,20.112402830404,19.9370259162446,19.0943422900076,19.1917422573172,19.3604231775738,19.9851012566812,19.9098673576287,20.082180955651
"sp|A0MZ66|SHOT1_HUMAN",1,0.999999793,3,28823809,104116722,39147432,31634190,21978380,27618580,17.48284538438,18.4610231546907,17.1767123049657,17.2697490556834,17.1339992926035,16.9055698008568,16.6293732953498,17.8345509855505,17.8591646065523,16.8500850313336,17.1646567981782,17.6138314956854
"sp|A1L0T0|ILVBL_HUMAN",1,1,6,15066499,42925373.88,41693735,110454848,107423836,147712437,17.5458614356737,17.5749736747856,16.5279842277538,18.5201173800315,18.8107779484251,18.4922926521,16.395948997424,16.5040229610163,16.9200657958735,18.6680335087112,18.6441460863003,18.6118357521891
"sp|A2RRP1|NBAS_HUMAN",1,0.749755873,1,0,8912365,0,0,0,0,NA,16.0029501963249,NA,NA,NA,NA,15.8752084580818,16.2876108719956,16.0794179552811,NA,NA,NA
"sp|A3KMH1|VWA8_HUMAN",1,0.999999951,5,45457670,6329703,16860292,11782030,30436550,0,16.6404718294865,15.6607638735883,17.6322921212256,16.2820860473175,NA,17.231154746821,15.9928836674748,17.3968592250608,17.3458793116906,16.5861374342579,17.4485918933167,16.0607547276662
"sp|A4D1P6|WDR91_HUMAN",1,0.703295062,1,0,35922032,0,0,0,0,NA,17.3968613699541,NA,NA,NA,NA,16.4671704553615,16.9453362233822,17.0640214992214,NA,NA,NA
"sp|A4D1S5|RAB19_HUMAN",1,0.979382657,1,0,0,0,0,0,21994080,NA,NA,NA,NA,16.906283884202,NA,NA,NA,NA,17.2999415747358,16.6846473134896,16.9193712585411
"sp|A4UGR9|XIRP2_HUMAN",1,0.768429378,4,0,0,410956464,4120993,143351456,127840000,19.8339978398425,NA,NA,15.2316047117027,18.6662900399822,18.7808099072006,19.4876333089406,19.7607443893863,20.0331890203169,18.8965499769128,15.7047670100955,16.5401032151361
"sp|A5YKK6|CNOT1_HUMAN",1,1,8,177893070,150028950,182959896,190546872,131600704,278447446,19.0247775392484,18.8263388334384,18.9966931974085,19.0654087695105,19.4447398957546,18.6952829263853,18.8245451081658,18.9866812219103,18.8218075268922,18.3613633290425,18.092277569934,19.3497822719128
"sp|A6NDG6|PGP_HUMAN",1,0.999997445,3,100351478,28975230,28269460,36201848,0,17461890,17.1572926279663,17.1819518850361,18.4241893615486,17.4046207252168,16.6755313499401,NA,18.0554778784816,16.9563138622258,17.5850242011081,16.8451410200881,17.7309103593264,17.0409797784472
"sp|A6NDU8|CE051_HUMAN",1,1,2,0,14928210,0,81463.36719,0,0,NA,16.5187632694944,NA,11.3079087158502,NA,NA,15.8454191014776,16.7375571502603,16.55622470668,11.168199422502,11.6973734284068,11.0887005720414
"sp|A6NHR9|SMHD1_HUMAN",1,1,9,164059362,101891878,212823059,189897396,87834540,207336032,19.1759716695237,18.4394227894226,18.9157388837102,19.0619944632082,19.1498513780278,18.2909653753236,19.9248697733388,18.3538275429525,18.6548306112617,20.0248618232253,18.656864766292,18.9301653562861
"sp|A6NJ78|MET15_HUMAN",1,1,3,0,0,0,0,23003323.19,38607620,NA,NA,NA,NA,17.4689602242788,16.951149249978,NA,NA,NA,16.8702828956827,17.0182077553706,17.696424766147
"sp|A7KAX9|RHG32_HUMAN",1,1,2,60987872,49924712,41998240,0,96348440,7655737,17.5531382706077,17.7260266685965,17.9261855826982,NA,15.8509658593828,18.3834817617232,17.8021174843439,17.5883446812669,17.5184152587387,18.7091149431919,12.2467673889965,20.3846015395367
"sp|A8MWD9|RUXGL_HUMAN/sp|P62308|RUXG_HUMAN",2,0.649066327,1,18853180,0,0,0,33874632,35672168,NA,NA,16.7521921578953,NA,17.3898813348545,17.3381769736365,16.7404484348104,16.719541465831,16.3264967732473,17.3420684969973,17.4403162614827,17.343872461127
"sp|A8MXV4|NUD19_HUMAN",1,1,5,33298480,326179034,94944330,17804520,784098920,790561982,18.3688012777997,19.6029569726337,17.3210223082632,16.6949629156112,20.4882546201422,20.4800457438249,20.414590376212,17.6726539545124,18.5909722356216,18.4693487452347,20.6934070630819,20.7479983419038
"sp|P08758|ANXA5_HUMAN",2,0.999975945,17,3488616700,4290590446,4792896154,3711772932,3801048322,3882171900,22.2904006907093,22.179690193516,21.9727711335574,22.0347754786631,22.0796606020111,22.058542739843,22.360789713628,22.0996024286779,22.2511946179697,22.0647690253708,22.0878770425108,22.0672638050442
"sp|P61769|B2MG_HUMAN",2,0.814035217,3,89588544,92535696,90920144,325909792,581147216,584796728,18.3254921407573,18.3431050307441,18.3107380126279,19.6021311893828,20.186774871309,20.1805146665409,18.2974572292461,18.3241457285354,18.3037998800208,19.3502629437821,20.2882097729323,19.8994116017608
"sp|B7ZAQ6|GPHRA_HUMAN/sp|P0CG08|GPHRB_HUMAN",2,0.728398105,2,46401712,80102992,90376112,69498760,0,72832920,18.3194905426552,18.1988237646493,17.6528469130675,18.0568194686492,18.1036786087585,NA,18.2346247391001,18.3901547780469,17.8617793844397,18.0968205443258,18.1431691742622,18.0583077970154
"sp|B7ZW38|HNRC3_HUMAN/sp|O60812|HNRC1_HUMAN/sp|P0DMR1|HNRC4_HUMAN",3,0.715197994,1,0,0,0,42788808,0,22290160,NA,NA,NA,17.5717871310291,16.9196558834431,NA,NA,NA,NA,16.6951812999309,17.3179885582777,17.0242980181445
"sp|P55957|BID_HUMAN",2,0.885290641,4,304917278,357833086,383664910,254928286,237837344,233052440,19.7652800993803,19.6955771954177,19.5355510781128,19.3564928321972,19.2667740505845,19.2870975694206,19.8640288048343,19.7209065542607,19.66981694286,19.2916563629869,19.3421750490216,19.2750350133157
"sp|C9JLW8|MCRI1_HUMAN",1,0.997030786,1,0,0,106078600,0,0,0,18.479690886728,NA,NA,NA,NA,NA,18.5725335622169,18.1015112983857,17.9173771366494,NA,NA,NA
