protein	n_proteins	protein_score	n_peptides	abundance_1	abundance_2	abundance_3	abundance_4	abundance_5	abundance_6
sp|A0A0B4J2D5|GAL3B_HUMAN/sp|P0DPI2|GAL3A_HUMAN	2	0.992420277	9	908407480	1969024771	2060850840	3688400066	3402294276	3463782098
sp|A0A0U1RRL7|MMPOS_HUMAN	1	1	1	0	0	0	22978130	24357370	23435360
sp|A0AV96|RBM47_HUMAN	1	1	5	42821032	75709518	38379524	151069390	167857063	175575570
sp|A0AVT1|UBA6_HUMAN	1	1	10	91706150	130959470	158079582	111609792	58823665	78784770
sp|A0FGR8|ESYT2_HUMAN	1	1	15	188825803	283311040	206890454	399079916	455554500	542882156
sp|A0MZ66|SHOT1_HUMAN	1	0.999999793	3	28823809	104116722	39147432	31634190	21978380	27618580
sp|A1L0T0|ILVBL_HUMAN	1	1	6	15066499	42925373.88	41693735	110454848	107423836	147712437
sp|A2RRP1|NBAS_HUMAN	1	0.749755873	1	0	8912365	0	0	0	0
sp|A3KMH1|VWA8_HUMAN	1	0.999999951	5	45457670	6329703	16860292	11782030	30436550	0
sp|A4D1P6|WDR91_HUMAN	1	0.703295062	1	0	35922032	0	0	0	0
sp|A4D1S5|RAB19_HUMAN	1	0.979382657	1	0	0	0	0	0	21994080
sp|A4UGR9|XIRP2_HUMAN	1	0.768429378	4	0	0	410956464	4120993	143351456	127840000
sp|A5YKK6|CNOT1_HUMAN	1	1	8	177893070	150028950	182959896	190546872	131600704	278447446
sp|A6NDG6|PGP_HUMAN	1	0.999997445	3	100351478	28975230	28269460	36201848	0	17461890
sp|A6NDU8|CE051_HUMAN	1	1	2	0	14928210	0	81463.36719	0	0
sp|A6NHR9|SMHD1_HUMAN	1	1	9	164059362	101891878	212823059	189897396	87834540	207336032
sp|A6NJ78|MET15_HUMAN	1	1	3	0	0	0	0	23003323.19	38607620
sp|A7KAX9|RHG32_HUMAN	1	1	2	60987872	49924712	41998240	0	96348440	7655737
sp|A8MWD9|RUXGL_HUMAN/sp|P62308|RUXG_HUMAN	2	0.649066327	1	18853180	0	0	0	33874632	35672168
sp|A8MXV4|NUD19_HUMAN	1	1	5	33298480	326179034	94944330	17804520	784098920	790561982
sp|P08758|ANXA5_HUMAN	2	0.999975945	17	3488616700	4290590446	4792896154	3711772932	3801048322	3882171900
sp|P61769|B2MG_HUMAN	2	0.814035217	3	89588544	92535696	90920144	325909792	581147216	584796728
sp|B7ZAQ6|GPHRA_HUMAN/sp|P0CG08|GPHRB_HUMAN	2	0.728398105	2	46401712	80102992	90376112	69498760	0	72832920
sp|B7ZW38|HNRC3_HUMAN/sp|O60812|HNRC1_HUMAN/sp|P0DMR1|HNRC4_HUMAN	3	0.715197994	1	0	0	0	42788808	0	22290160
sp|P55957|BID_HUMAN	2	0.885290641	4	304917278	357833086	383664910	254928286	237837344	233052440
sp|C9JLW8|MCRI1_HUMAN	1	0.997030786	1	0	0	106078600	0	0	0
sp|P04040|CATA_HUMAN	2	0.999999999	32	9236844808	9435463558	10635555138	21050339058	21226511101	22219482213
sp|P07339|CATD_HUMAN	2	0.999980808	18	1878867084	1990887998	2193689820	6723431682	6452868536	7059449604
sp|P00167|CYB5_HUMAN	2	0.885132833	4	828061022	861765820	895717352	1981443712	1303801894	2069592520
sp|P99999|CYC_HUMAN	2	0.949287529	6	1715235408	1900792434	1992428342	1611842008	1667384080	1585989032
sp|E9PAV3|NACAM_HUMAN/sp|Q13765|NACA_HUMAN	2	0.838027293	4	907079672	1206990668	1330207012	1204344856	912919082	1088677788
sp|E9PRG8|CK098_HUMAN	1	0.999974075	1	0	0	110746304	129744000	139850400	129782000
sp|P06396|GELS_HUMAN	2	0.995193316	7	140992113.9	295022638.7	302476554	509646023.6	309565862.3	498812361
sp|P09211|GSTP1_HUMAN	2	0.649474211	1	0	28126860	31304540	0	32500090	0
sp|I0J062|PANO1_HUMAN	1	0.758719892	1	0	0	136735600	0	0	0
sp|L0R6Q1|S35U4_HUMAN	1	1	3	0	115960134	22653980	325146448	314539616	313598676
sp|L0R8F8|MIDUO_HUMAN	1	0.885689189	1	0	0	0	38644580	0	40859260
sp|P02144|MYG_HUMAN	2	0.649415887	1	76350200	0	0	0	0	0
sp|Q15843|NEDD8_HUMAN	2	0.639072722	1	64709208	0	308905408	0	83635168	0
sp|O00115|DNS2A_HUMAN	1	1	5	64812950	352586184	71463678	619476942	918296100	881155992
sp|O00116|ADAS_HUMAN	1	1	10	124895004.9	167023769	146152060	108349940	172944996	147145860
sp|O00148|DX39A_HUMAN	1	1	6	443758170	486031416	1049894904	690210276	661116866	649763648
sp|O00151|PDLI1_HUMAN	1	1	6	125491740	211842198	185651273	169377172	343860482	152041060
sp|O00154|BACH_HUMAN	1	1	8	506300044	537876088	511961048	348780068	382609382	394017014
sp|O00159|MYO1C_HUMAN	1	1	15	212484568	128110338	155413204	308604516	231378976	194007864
sp|O00160|MYO1F_HUMAN	1	0.938292615	3	1197522	82287214	113728036.4	6219389	31526140	303443488
sp|O00161|SNP23_HUMAN	1	1	4	68740365	83676496	83093264	219586426	193536359	215304952
sp|O00165|HAX1_HUMAN	1	1	4	18750800	119109098	27461020	81566233	76142620	65654094
sp|O00170|AIP_HUMAN	1	1	8	451054008	404396928	433180796	435319132	353625378	375683532
sp|O00186|STXB3_HUMAN	1	1	4	0	25161540	23255660	0	63116430	40642248
sp|O00193|SMAP_HUMAN	1	1	3	66858560	216387618	178257138	56796768	58322512	64367688
sp|O00194|RB27B_HUMAN	1	1	3	0	0	16014220	8047295	84171302	8743672
sp|O00203|AP3B1_HUMAN	1	1	8	153212000	91118620	135299148	30482230	90356730	104410782
sp|O00204|ST2B1_HUMAN	1	1	6	67243630	170289119	275606728	51030760	0	326490122
sp|O00217|NDUS8_HUMAN	1	1	2	0	0	0	19346160	11936950	27600060
sp|O00231|PSD11_HUMAN	1	1	15	1155189040	1656351050	1316610574	1023852234	1277587388	1335564740
sp|O00232|PSD12_HUMAN	1	1	8	269678512	632635150	889537742	575085328	424546928	676289648
sp|O00233|PSMD9_HUMAN	1	1	4	44923248	206495472	234265286	109031648	106415760	164376572
sp|O00244|ATOX1_HUMAN	1	1	3	67583504	35175640	141004144	216090116	285561904	275825992
sp|O00264|PGRC1_HUMAN	1	1	14	2794730676	2612382912	4470330616	6644014074	6738179259	7430791274
sp|O00267|SPT5H_HUMAN	1	1	15	218816298	412076816	586819640	351732964	250858178	499767054
sp|O00273|DFFA_HUMAN	1	1	7	369699474	390773478	344709594	488155168	427637792	507500336
sp|O00299|CLIC1_HUMAN	1	1	13	4800689832	5584976040	6448204320	4097846926	3855048264	4115841472
sp|O00303|EIF3F_HUMAN	1	1	7	334059370	590154182	251183784	326111068	272075296	237491608
sp|O00330|ODPX_HUMAN	1	1	11	476740518	429546050	481696360	993581584	917215124	949068340
sp|O00400|ACATN_HUMAN	1	1	4	100468692	113308550	62526830	0	31225810	22421800
sp|O00401|WASL_HUMAN	1	0.998754827	3	7821943	49089790	0	37349760	40476720	38841672
sp|O00410|IPO5_HUMAN	1	1	23	994560694	1502398325	1569469407	1053111389	1067510131	1024902296
sp|O00411|RPOM_HUMAN	1	1	3	0	77531120	59725640	24873510	119261298	23216590
sp|O00422|SAP18_HUMAN	1	0.998242041	2	129957716	0	0	30541700	181711504	31072060
sp|O00425|IF2B3_HUMAN	1	1	1	0	17726600	19637480	0	0	0
sp|O00429|DNM1L_HUMAN	1	1	12	256836335	341889615	303556619	102723020	162656810	188548318
sp|O00442|RTCA_HUMAN	1	1	4	75490288	108071468	120539448	35444008	31173450	40883888
sp|O00443|P3C2A_HUMAN	1	0.999986696	1	0	0	0	0	12348520	0
sp|O00461|GOLI4_HUMAN	1	1	3	28788590	52753742	81080190	128644526	91071402	73419040
sp|O00468|AGRIN_HUMAN	1	1	5	156256814	123462896	208343678	14697410	27506180	17539620
sp|O00469|PLOD2_HUMAN	1	1	2	0	0	0	97706180	80177820	92728368
sp|O00471|EXOC5_HUMAN	1	0.999976062	2	0	5050589	463281743	0	0	0
sp|O00483|NDUA4_HUMAN	1	1	3	136682284	131636552	142196648	408015360	436480456	202014324
sp|O00487|PSDE_HUMAN	1	1	5	251559358	309974894	303239088	228440634	221255430	235830402
sp|O00488|ZN593_HUMAN	1	1	1	17276860	17906160	22154230	22817390	23410650	65996208
sp|O00505|IMA4_HUMAN	1	1	7	36570360	117906040	195693580	94700090	202147158	187115928
sp|O00507|USP9Y_HUMAN	1	0.983942578	1	0	39007540	0	0	0	0
sp|O00515|LAD1_HUMAN	1	1	9	194739108	579437194	330119084	239243056	118093288	128765792
sp|O00519|FAAH1_HUMAN	1	0.999736281	1	0	0	0	4691395	0	0
sp|O00541|PESC_HUMAN	1	1	7	403345776	276386046	365309496	50832580	441838392	45185608
sp|O00566|MPP10_HUMAN	1	0.999999985	3	44625960	0	134543728	151796864	69882152	159745944
sp|O00567|NOP56_HUMAN	1	1	14	508244868	535181428	2095579874	851607630	569935652	519435929
sp|O00571|DDX3X_HUMAN	1	1	6	717793856	753222868	1030777546	1427923730	1048804130	905986122
sp|O00584|RNT2_HUMAN	1	0.856696732	1	0	0	0	133519800	0	177087296
sp|O00592|PODXL_HUMAN	1	1	5	111856140	237902946	185195546	205424365	302942944	162750365
sp|O00625|PIR_HUMAN	1	1	1	23772460	21592130	24869030	23478790	26101120	24379170
sp|O00629|IMA3_HUMAN	1	1	8	391678056	481060082	456162388	573115678	342718422	549514894
sp|O00743|PPP6_HUMAN	1	1	2	50848320	24642860	24422510	41096660	0	0
sp|O00754|MA2B1_HUMAN	1	0.999987128	3	0	0	35666640	175740356	42369072	64349322
sp|O00762|UBE2C_HUMAN/sp|UBE2C_HUMAN|	2	0.87829383	4	0	2666096	0	76541682	82030690	60943160
sp|O00764|PDXK_HUMAN	1	1	12	961012894	922438901	709202694	382223033	285444648	404700340
sp|O00767|ACOD_HUMAN	1	1	3	0	0	0	221596112	173050804	146493304
sp|O14495|PLPP3_HUMAN	1	1	3	10299520	0	0	134995188	123187748	106087472
sp|O14497|ARI1A_HUMAN	1	0.999409484	4	0	12020130	0	834104320	1257082960	1239661702
sp|O14523|C2C2L_HUMAN	1	0.999943007	2	0	0	0	211794134	216693696	223597934
sp|O14545|TRAD1_HUMAN	1	1	1	0	15950170	16802910	0	23850600	28954230
sp|O14561|ACPM_HUMAN	1	1	1	26332010	21984470	22726370	148502904	164556906	144577606
sp|O14579|COPE_HUMAN	1	1	11	507274747	503335294	627349462	544280042	507135996	571631502
sp|O14617|AP3D1_HUMAN	1	1	8	227167242	282005220	285370836	141372752	71070350	122181688
sp|O14639|ABLM1_HUMAN	1	1	2	19092800	28621550	27446940	103620856	25146810	26720870
sp|O14653|GOSR2_HUMAN	1	1	1	0	0	0	17815950	0	0
sp|O14656|TOR1A_HUMAN	1	0.999979734	2	0	0	0	114728108	0	0
sp|O14672|ADA10_HUMAN	1	1	10	35108440	184948752	114693000	419506480	282472510	454795635.7
sp|O14681|EI24_HUMAN	1	0.999760515	2	194633072	116049732	74838144	140787992	175856896	163404808
sp|O14683|P5I11_HUMAN	1	1	2	94604736	41092480	0	214749440	266088128	140454400
sp|O14684|PTGES_HUMAN	1	1	1	174495808	207885696	222632304	316749408	291697504	306137888
sp|O14732|IMPA2_HUMAN	1	1	3	300077744	353817316	366662652	362305876	306496138	323041676
sp|O14734|ACOT8_HUMAN	1	0.819869971	1	0	0	0	0	58487848	49791380
sp|O14737|PDCD5_HUMAN	1	1	4	462871896	929331242	1046405464	404713280	1205625010	393405938
sp|O14744|ANM5_HUMAN	1	1	13	307210610	404564482	348652848	921502036	210350152	154678508
sp|O14745|NHRF1_HUMAN	1	1	15	2128652500	2716083604	2362150494	3377884930	2744588562	3327570178
sp|O14776|TCRG1_HUMAN	1	0.999999489	6	264238416	158248096	163416400	40327180	234718896	291149356
sp|O14777|NDC80_HUMAN	1	0.897724651	2	0	0	0	24230880	112242704	0
sp|O14787|TNPO2_HUMAN	1	1	5	9473226	80572760	82299666	135229668	120948030	127252854
sp|O14818|PSA7_HUMAN	1	1	6	1228403708	1557154456	1427163614	979408618	1106806586	1122698000
sp|O14828|SCAM3_HUMAN	1	1	8	412551662	750145226	748068748	829824670	855205544	866136486
sp|O14874|BCKD_HUMAN	1	1	2	0	0	0	47942048	396024512	308911808
sp|O14907|TX1B3_HUMAN	1	1	2	39881340	44180408	81218328	84613872	42348688	78982336
