protein	n_proteins	protein_score	n_peptides	abundance_1	abundance_2	abundance_3	abundance_4	abundance_5	abundance_6	abundance_7	abundance_8	abundance_9
sp|A6NHQ4|EPOP_HUMAN	1	0.994693758	8	0	14411696784	0	0	13784555947	14489133856	4000586352	4072616704	3215225952
sp|A6NNF4|ZN726_HUMAN	1	0.889169933	1	0	0	0	0	0	2729743	0	135984.5938	0
sp|A8MWD9|RUXGL_HUMAN/sp|P62308|RUXG_HUMAN	2	0.922459753	4	118719504	1544845000	242217223	0	1557109552	1255397352	273139864	232184720	214956672
sp|B5ME19|EIFCL_HUMAN/sp|Q99613|EIF3C_HUMAN	2	0.911028618	4	0	116870322	0	0	104417780	25249330	0	8844474	0
sp|O00148|DX39A_HUMAN	1	0.875257695	1	0	0	0	0	30239100	3626694	0	0	0
sp|O00178|GTPB1_HUMAN	1	0.999867333	12	0	682548726	0	0	607071562	565265246	0	0	0
sp|O00255|MEN1_HUMAN	1	0.912145229	3	31166050	119391392	0	0	37237440	0	0	0	0
sp|O00267|SPT5H_HUMAN	1	0.999999967	27	6008402	6661055490	0	6521371	5420775776	3610750418	0	0	23364940
sp|O00303|EIF3F_HUMAN	1	0.899086466	3	0	0	0	0	30039620	24943260	0	0	0
sp|O00422|SAP18_HUMAN	1	0.985328276	5	0	839001632	37501460	0	760085098	684504406	0	0	0
sp|O00488|ZN593_HUMAN	1	0.898688438	2	0	206937744	0	0	0	145023392	0	0	0
sp|O00505|IMA4_HUMAN	1	0.902214637	1	0	0	0	0	14012520	0	0	0	0
sp|O00541|PESC_HUMAN	1	0.956172038	3	26057640	208311120	23880920	58094770	198543458	175905136	27107210	23865990	508270304
sp|O00567|NOP56_HUMAN	1	0.999925938	13	303435110	1226284439	31236010	89185092	2894050592	1501135264	425342196	324844302	336872236
sp|O00571|DDX3X_HUMAN	1	0.999992507	6	409792530	0	576920240	369322322	0	632962969.7	0	73433472	82790176
sp|O00629|IMA3_HUMAN	1	0.961444521	2	0	0	0	0	49070840	0	0	0	0
sp|O14497|ARI1A_HUMAN	1	0.999958606	14	58376430	1228301674	29627280	33451800	2184531230	941268830	89199152	38563060	79494368
sp|O14519|CDKA1_HUMAN	1	0.92389634	1	11351640	156749304	3960646	16263783	128285350	166557340	0	0	0
sp|O14646|CHD1_HUMAN	1	0.99850822	6	0	76455460	0	129869683	98768153	8230649	0	2210684	2485688
sp|O14647|CHD2_HUMAN	1	0.981255614	1	0	16195200	0	0	13160300	24474020	0	0	0
sp|O14727|APAF_HUMAN	1	0.855150336	1	0	56426300	0	0	0	0	0	0	0
sp|O14979|HNRDL_HUMAN	1	0.999963014	14	1958766979	2065693236	1898159403	2211314151	2269530056	2125959340	1529933999	1156041328	965068820
sp|O14980|XPO1_HUMAN	1	0.970206592	4	0	48344010	0	0	113912737	25565580	0	0	0
sp|O15042|SR140_HUMAN	1	0.999999991	30	9106659	16683642895	79390803	9691972	16181903840	16054213690	51004740	34516006	18088091
sp|O15226|NKRF_HUMAN	1	0.923559485	3	0	5787873984	0	0	0	5957830268	0	0	0
sp|O15294|OGT1_HUMAN	1	0.999968595	16	60359883	1552039184	7993661	98197624	855929876	976465428	254951820	104427635	51478200
sp|O15371|EIF3D_HUMAN	1	0.924726273	2	0	92142348	0	0	0	89446782	0	0	0
sp|O15381|NVL_HUMAN	1	0.928303038	3	0	213152540	0	0	105695680	99843148	0	0	0
sp|O15514|RPB4_HUMAN	1	0.979737249	4	7621697	80797248	0	7791945	103966388	184272992	0	0	0
sp|O15523|DDX3Y_HUMAN	1	0.999870561	1	50877608	113832400	49215501	58007560	93510272	140851504	12369890	24134110	0
sp|O15550|KDM6A_HUMAN	1	0.878562506	1	0	16925230	0	0	0	0	0	0	0
sp|O43143|DHX15_HUMAN	1	1	32	136798042	10112115872	146058890	111734744	8282912073	2837683162	118330230	111031040	141909880
sp|O43172|PRP4_HUMAN	1	0.996904683	7	0	409069563	0	0	2012532449	130904596	0	26084460	0
sp|O43189|PHF1_HUMAN	1	0.899454943	2	0	19260349	0	0	2553838	0	0	0	0
sp|O43251|RFOX2_HUMAN/sp|Q9NWB1|RFOX1_HUMAN	2	0.910806709	5	0	178965262	0	0	78140250	140555612	33617300	0	0
sp|O43290|SNUT1_HUMAN	1	0.948408087	3	0	335805352	0	0	315843096	213665112	0	0	0
sp|O43390|HNRPR_HUMAN	1	0.995908522	6	0	479908172	0	0	146440832	204518679	0	0	0
sp|O43395|PRPF3_HUMAN	1	0.989778315	6	27176220	518860388	23580250	23605970	498059798	339421685	23801640	22720730	0
sp|O43447|PPIH_HUMAN	1	0.983528787	5	5766185	330115212	0	6178024	228456504	115877980	7739769	12203000	12084670
sp|O43660|PLRG1_HUMAN	1	0.997931582	8	48030943	671923429	17432870	9360034	1139115653	591420312	33067410	42570620	28988020
sp|O43707|ACTN4_HUMAN/sp|P12814|ACTN1_HUMAN	2	0.848193389	2	0	0	0	0	90949924	63172848	0	0	0
sp|O43823|AKAP8_HUMAN	1	0.975724897	5	0	124085848	0	0	163805381	45006472	5792345	0	16752452
sp|O43913|ORC5_HUMAN	1	0.945204844	3	0	61509843	0	0	110013259	44544480	4191167	4723331	0
sp|O43929|ORC4_HUMAN	1	0.948494154	1	0	0	0	0	0	95256712	0	0	0
sp|O60216|RAD21_HUMAN	1	0.991202628	6	0	408167582	0	0	472869618	568121720	0	0	0
sp|O60264|SMCA5_HUMAN	1	1	40	583244734	12737062368	693115676	709267584	13894453835	12761402346	3113632555	2362473598	2007989994
sp|O60281|ZN292_HUMAN	1	0.911341536	2	0	208046804	0	0	11243520	0	0	0	0
sp|O60306|AQR_HUMAN	1	0.999015906	8	9022605	203142608	39700552	7294479	176241878	143020166	0	6275913	0
sp|O60341|KDM1A_HUMAN	1	0.999973814	15	14727290	1485448092	14102090	0	4534098927	879303939	30158440	18847330	20532970
sp|O60481|ZIC3_HUMAN	1	0.898726227	1	0	0	0	0	15480750	28802220	0	0	0
sp|O60506|HNRPQ_HUMAN	1	0.991334497	4	19891770	237882882	0	23944960	127542772	163060360	0	0	0
sp|O60508|PRP17_HUMAN	1	0.925162845	3	0	98048930	0	0	93336172	42123560	0	0	0
sp|O60684|IMA7_HUMAN	1	0.936201562	2	1059697	56133650	0	0	0	0	0	0	0
sp|O60716|CTND1_HUMAN	1	0.901671213	2	0	28756490	0	2093415	62039792	12645340	0	0	0
sp|O60832|DKC1_HUMAN	1	0.954524942	5	0	64927040	0	0	96562648	122252160	23370170	0	0
sp|O60884|DNJA2_HUMAN	1	0.946968703	3	0	101114500	0	0	449737984	95133202	0	0	0
sp|O60907|TBL1X_HUMAN/sp|Q9BQ87|TBL1Y_HUMAN	2	0.855287611	3	0	114936080	0	0	45254280	110884800	0	0	0
sp|O75182|SIN3B_HUMAN	1	0.978116638	6	0	68683280	0	0	194716695	161127558	0	0	0
sp|O75367|H2AY_HUMAN	1	0.999932195	14	0	14471187902	0	0	11943762878	10876543176	0	7129221	7768300
sp|O75400|PR40A_HUMAN	1	0.993707889	7	24393568	273414464	22284771.19	17803756	366964746	589668621.3	18866547	0	0
sp|O75475|PSIP1_HUMAN	1	0.998576526	8	532559627	849246560	550801342	596545633	877133268	908889010	231422076	230817644	269116776
sp|O75494|SRS10_HUMAN	1	0.957850929	4	0	221122192	0	0	10991570	151647174	0	0	0
sp|O75530|EED_HUMAN	1	1	35	99185422	1.67E+11	29086150	70988868	1.41E+11	1.53E+11	34422804366	29043424328	29951933240
sp|O75533|SF3B1_HUMAN	1	1	58	710558283	20134350538	300688608	648468768	18100072196	17696409110	788943084	334294730	410586610
sp|O75643|U520_HUMAN	1	1	81	442162385	9988177303	771980333	655745377	7732936911	7572204914	552498473.8	86557195	141250711
sp|O75691|UTP20_HUMAN	1	0.999986734	17	4631423	947395548	5959353	0	518086424	639813301	0	8933098	0
sp|O75694|NU155_HUMAN	1	0.996863902	7	18577870	18692330	14959410	79597800	107902740	30629810	12886580	25902560	10951820
sp|O75821|EIF3G_HUMAN	1	0.901641152	2	0	0	0	0	39349350	15284320	0	0	0
sp|O75934|SPF27_HUMAN	1	0.986092839	5	6615323	93472112	0	5643786	121198274	28140490	0	0	19954330
sp|O75937|DNJC8_HUMAN	1	0.985543935	7	0	522613570	0	0	1461096966	183527492	0	0	0
sp|O75940|SPF30_HUMAN	1	0.928146497	3	0	47707432	0	43780952	40542720	71958392	0	0	0
sp|O94776|MTA2_HUMAN	1	0.999999688	16	0	1174174416	94694730	13152520	1576361039	1790420568	149998358	105112872	97455090
sp|O94880|PHF14_HUMAN	1	0.996908644	9	56947680	585059320	0	0	490373888	644698786	0	0	0
sp|O94906|PRP6_HUMAN	1	0.999989608	16	311023712	1085050912	13537580	13220470	675723536	1160072818	114007454	108249344	77041552
sp|O95104|SFR15_HUMAN	1	0.975764562	4	0	172727798	0	0	94448200	184112762	0	0	0
sp|O95232|LC7L3_HUMAN	1	0.98629421	5	0	293402806	0	72845232	289124688	305859746	0	0	78042736
sp|O95251|KAT7_HUMAN	1	0.983564482	5	4765291	137684778	0	0	185494308	132201040	0	6513686	5718530
sp|O95478|NSA2_HUMAN	1	0.895714349	2	0	64840080	0	0	32935440	0	0	0	0
sp|O95619|YETS4_HUMAN	1	0.900608386	2	0	47007320	0	0	15478380	29981990	0	0	0
sp|O95639|CPSF4_HUMAN	1	0.892420079	3	0	4024904	0	0	4247305	0	50471888	126801912	116939960
sp|O95718|ERR2_HUMAN	1	0.977533507	6	113108900	561591776	118493671	65467440	503755016	515975856	81008752	119835772	103703473
sp|O95758|PTBP3_HUMAN	1	0.964242591	1	0	138141600	0	0	0	117105904	0	0	0
sp|O95777|LSM8_HUMAN	1	0.857088543	2	0	33270250	0	0	28023500	23251230	0	0	0
sp|O95785|WIZ_HUMAN	1	0.988606043	6	0	546805526	0	0	850824586	39823767	0	0	0
